Time [Sec],Mass 24,Mass 31,Mass 43,Mass 44,Mass 47,Mass 55,Mass 63,Mass 66,Mass 88,Mass 138,Mass 208,Mass 238,Dist,adj dist
1.017,2,461.05,3,937.22,2,27,9,0,2,0,2,0,2.0,19378.0
2.024,0,405.04,4,917.21,3,21,10,2,1,0,0,1,4.0,19376.0
3.031,4,452.05,6,1008.25,1,16,6,0,1,2,1,0,5.9,19374.1
4.038,1,401.04,5,987.24,6,11,5,0,3,0,0,0,7.9,19372.1
5.045,0,424.04,2,935.22,3,14,5,1,0,1,1,0,9.9,19370.1
6.051,0,397.04,7,869.19,0,27,11,3,1,2,0,0,11.9,19368.1
7.058,2,466.05,8,876.19,2,22,12,0,0,2,2,0,13.8,19366.2
8.065,2,467.05,3,993.25,2,30,4,0,3,1,0,0,15.8,19364.2
9.072,3,412.04,3,902.2,2,15,8,3,0,3,2,0,17.8,19362.2
10.079,3,468.05,8,910.21,0,25,7,0,1,0,0,1,19.8,19360.2
11.086,4,446.05,5,950.23,1,12,14,0,8,2,0,1,21.7,19358.3
12.092,1,416.04,4,957.23,2,12,7,1,0,1,1,1,23.7,19356.3
13.098,3,421.04,4,932.22,4,19,4,0,0,0,1,0,25.7,19354.3
14.106,3,448.05,4,981.24,0,16,12,0,1,1,1,1,27.7,19352.3
15.113,1,423.04,11,927.21,2,15,4,0,0,1,0,1,29.6,19350.4
16.12,2,441.05,9,951.23,4,12,7,0,4,0,0,0,31.6,19348.4
17.127,2,394.04,6,910.21,0,22,9,1,1,0,1,0,33.6,19346.4
18.134,2,467.05,2,927.21,0,12,9,2,3,0,0,0,35.6,19344.4
19.14,2,386.04,5,930.22,3,16,3,1,1,1,0,0,37.5,19342.5
20.147,1,428.05,5,987.24,4,22,8,2,1,0,1,0,39.5,19340.5
21.154,3,455.05,8,971.24,1,14,13,1,3,1,2,0,41.5,19338.5
22.161,0,437.05,5,2375.52,3,201.05,397.2,97.01,11843.89,2858.15,18,8,43.5,19336.5
23.168,378748.63,749802.25,16770.96,279943.47,46.01,39,20,44,18242.84,2715.95,2,3,45.4,19334.6
24.175,460205,803063.13,16325.17,254269.23,23,23,12,36,16125.48,2123.19,4,1,47.4,19332.6
25.182,401240.81,668709.44,13929.18,208874.38,30,26,13,28,13391.78,1859.92,1,0,49.4,19330.6
26.188,315210.84,542861.75,11874.1,180401.84,18,42,9,28,11176.92,1637.71,3,0,51.3,19328.7
27.195,287723.63,499980.38,11213.24,167199.95,14,29,10,26,11087.47,1475.58,2,0,53.3,19326.7
