labID,87Sr/86Sr,StdErr,ErrRep,Sd,dist
2122_401/402,0.71067,0.000116,6.36E-05,0.000132307,200
2122_403,0.71063,0.000003,6.36E-05,6.37E-05,600
2122_404,0.71108,0.000004,6.36E-05,6.38E-05,1000
2122_405,0.71155,0.000004,6.36E-05,6.38E-05,1400
2122_406,0.71193,0.000003,6.36E-05,6.37E-05,1800
2122-407,0.71187,0.000003,6.36E-05,6.37E-05,2200
2122-408,0.71145,0.000003,6.36E-05,6.37E-05,2600
2122-409,0.71101,0.000003,6.36E-05,6.37E-05,3000
2122-410,0.71124,0.000003,6.36E-05,6.37E-05,3400
2122-411,0.71093,0.000004,6.36E-05,6.38E-05,3800
2122-412,0.71068,0.000004,6.36E-05,6.38E-05,4200
2122-413,0.71064,0.000007,6.36E-05,6.40E-05,4600
2122-414,0.71072,0.000004,6.36E-05,6.38E-05,5000
2122-415,0.71106,0.000005,6.36E-05,6.38E-05,5400
2122-416,0.7111,0.000005,6.36E-05,6.38E-05,5800
2122-417,0.71088,0.000004,6.36E-05,6.38E-05,6200
2122-418,0.71053,0.000006,6.36E-05,6.39E-05,6600
2122-419,0.71043,0.00001,6.36E-05,6.44E-05,7000
2122-420,0.71019,0.000008,6.36E-05,6.41E-05,7400
2122-421,0.7098,0.000005,6.36E-05,6.38E-05,7800
2122-501,0.71014,4.04528E-06,6.36E-05,6.38E-05,8200
2122-502,0.71022,3.58503E-06,6.36E-05,6.38E-05,8600
2122-503,0.70973,2.60979E-06,6.36E-05,6.38E-05,9000
2122-504,0.70981,3.88897E-06,6.36E-05,6.38E-05,9400
2122-505,0.70967,3.97883E-06,6.36E-05,6.38E-05,9800
2122-506,0.70949,3.45998E-06,6.36E-05,6.38E-05,10200
2122-507,0.70950,4.15364E-06,6.36E-05,6.38E-05,10600
2122-508,0.70979,3.66282E-06,6.36E-05,6.38E-05,11000
2122-509,0.70895,3.75239E-06,6.36E-05,6.38E-05,11400
