dist,87Sr/86Sr
19297.904,0.707340
19296.856,0.707376
19295.808,0.707540
19294.76,0.707428
19293.712,0.706853
19292.664,0.706844
19291.616,0.707209
19290.568,0.706490
19289.52,0.707593
19288.472,0.707228
19287.424,0.706853
19286.376,0.706446
19285.328,0.706095
19284.28,0.707607
19283.232,0.706637
19282.184,0.706581
19281.136,0.708119
19280.088,0.705744
19279.04,0.706496
19277.992,0.706339
19276.944,0.706842
19275.896,0.705076
19274.848,0.706395
19273.8,0.707037
19272.752,0.707928
19271.704,0.707541
19270.656,0.706096
19269.608,0.705666
19268.56,0.706236
19267.512,0.706693
19266.464,0.705472
19265.416,0.706560
19264.368,0.707061
19263.32,0.707559
19262.272,0.707350
19261.224,0.706848
19260.176,0.707696
19259.128,0.706367
19258.08,0.707115
19257.032,0.708009
19255.984,0.707654
19254.936,0.708155
19253.888,0.707201
19252.84,0.708158
19251.792,0.707825
19250.744,0.706437
19249.696,0.706972
19248.648,0.708040
19247.6,0.706844
19246.552,0.707690
19245.504,0.706683
19244.456,0.706214
19243.408,0.707112
19242.36,0.708052
19241.312,0.707080
19240.264,0.708006
19239.216,0.706270
19238.168,0.707760
19237.12,0.707620
19236.072,0.707155
19235.024,0.706543
19233.976,0.706662
19232.928,0.706712
19231.88,0.706412
19230.832,0.706475
19229.784,0.706082
19228.736,0.708062
19227.688,0.706836
19226.64,0.707228
19225.592,0.707516
19224.544,0.706322
19223.496,0.706527
19222.448,0.707116
19221.4,0.706501
19220.352,0.705406
19219.304,0.707844
19218.256,0.707848
19217.208,0.706888
19216.16,0.707287
19215.112,0.707635
19214.064,0.708021
19213.016,0.706235
19211.968,0.706511
19210.92,0.708084
19209.872,0.707517
19208.824,0.706924
19207.776,0.706170
19206.728,0.705697
19205.68,0.706649
19204.632,0.707027
19203.584,0.706976
19202.536,0.705558
19201.488,0.706983
19200.44,0.706536
19199.392,0.706644
19198.344,0.707046
19197.296,0.708081
19196.248,0.706283
19195.2,0.707515
19194.152,0.707856
19193.104,0.706989
19192.056,0.706952
19191.008,0.706281
19189.96,0.708400
19188.912,0.707032
19187.864,0.706335
19186.816,0.706864
19185.768,0.707381
19184.72,0.707236
19183.672,0.705240
19182.624,0.708191
19181.576,0.706779
19180.528,0.708384
19179.48,0.705751
19178.432,0.706976
19177.384,0.706899
19176.336,0.707235
19175.288,0.707179
19174.24,0.707315
19173.192,0.707192
19172.144,0.707578
19171.096,0.707547
19170.048,0.706188
19169,0.707095
19167.952,0.705925
19166.904,0.706659
19165.856,0.707406
19164.808,0.706534
19163.76,0.707531
19162.712,0.706393
19161.664,0.706842
19160.616,0.706442
19159.568,0.707785
19158.52,0.707374
19157.472,0.706450
19156.424,0.708138
19155.376,0.706984
19154.328,0.706235
19153.28,0.706707
19152.232,0.706348
19151.184,0.706900
19150.136,0.706733
19149.088,0.706098
19148.04,0.707508
19146.992,0.706621
19145.944,0.706514
19144.896,0.705780
19143.848,0.706320
19142.8,0.707017
19141.752,0.707093
19140.704,0.706286
19139.656,0.706733
19138.608,0.707059
19137.56,0.706786
19136.512,0.706450
19135.464,0.706223
19134.416,0.707379
19133.368,0.707985
19132.32,0.706875
19131.272,0.707540
19130.224,0.706552
19129.176,0.707880
19128.128,0.706079
19127.08,0.706509
19126.032,0.706917
19124.984,0.708248
19123.936,0.707482
19122.888,0.707083
19121.84,0.705769
19120.792,0.707315
19119.744,0.705587
19118.696,0.707446
19117.648,0.707465
19116.6,0.708039
19115.552,0.706007
19114.504,0.707709
19113.456,0.706249
19112.408,0.706804
19111.36,0.705822
19110.312,0.708662
19109.264,0.706933
19108.216,0.706824
19107.168,0.707467
19106.12,0.706807
19105.072,0.706978
19104.024,0.705819
19102.976,0.708299
19101.928,0.705966
19100.88,0.707544
19099.832,0.706886
19098.784,0.707496
19097.736,0.707068
19096.688,0.707749
19095.64,0.707005
19094.592,0.705418
19093.544,0.705572
19092.496,0.707340
19091.448,0.705534
19090.4,0.706194
19089.352,0.707462
19088.304,0.707051
19087.256,0.708113
19086.208,0.707135
19085.16,0.707692
19084.112,0.708343
19083.064,0.707085
19082.016,0.707511
19080.968,0.705456
19079.92,0.706741
19078.872,0.707316
19077.824,0.707220
19076.776,0.705456
19075.728,0.706672
19074.68,0.705008
19073.632,0.707371
19072.584,0.706502
19071.536,0.706507
19070.488,0.706666
19069.44,0.705533
19068.392,0.708921
19067.344,0.707938
19066.296,0.705783
19065.248,0.706726
19064.2,0.705693
19063.152,0.705559
19062.104,0.707382
19061.056,0.705249
19060.008,0.707752
19058.96,0.706204
19057.912,0.707173
19056.864,0.707937
19055.816,0.705825
19054.768,0.706719
19053.72,0.708481
19052.672,0.705890
19051.624,0.707358
19050.576,0.706858
19049.528,0.705787
19048.48,0.708149
19047.432,0.706765
19046.384,0.706738
19045.336,0.707380
19044.288,0.707677
19043.24,0.706851
19042.192,0.707285
19041.144,0.706799
19040.096,0.706915
19039.048,0.707206
19038,0.707872
19036.952,0.707859
19035.904,0.705791
19034.856,0.707062
19033.808,0.706133
19032.76,0.706341
19031.712,0.706545
19030.664,0.706760
19029.616,0.707465
19028.568,0.706189
19027.52,0.706702
19026.472,0.706553
19025.424,0.706914
19024.376,0.706457
19023.328,0.706303
19022.28,0.707133
19021.232,0.706952
19020.184,0.707082
19019.136,0.707010
19018.088,0.706714
19017.04,0.707085
19015.992,0.707240
19014.944,0.706381
19013.896,0.706454
19012.848,0.707771
19011.8,0.706771
19010.752,0.706171
19009.704,0.706183
19008.656,0.706482
19007.608,0.707463
19006.56,0.706417
19005.512,0.707250
19004.464,0.707453
19003.416,0.706576
19002.368,0.705869
19001.32,0.705852
19000.272,0.706776
18999.224,0.706499
18998.176,0.708682
18997.128,0.706185
18996.08,0.706714
18995.032,0.705768
18993.984,0.706143
18992.936,0.706801
18991.888,0.706607
18990.84,0.706414
18989.792,0.706598
18988.744,0.706773
18987.696,0.706832
18986.648,0.706161
18985.6,0.706747
18984.552,0.706862
18983.504,0.706211
18982.456,0.705651
18981.408,0.705787
18980.36,0.707417
18979.312,0.706150
18978.264,0.706493
18977.216,0.706567
18976.168,0.705659
18975.12,0.706376
18974.072,0.706303
18973.024,0.707735
18971.976,0.707467
18970.928,0.707462
18969.88,0.707078
18968.832,0.706877
18967.784,0.707010
18966.736,0.707325
18965.688,0.708227
18964.64,0.706425
18963.592,0.707834
18962.544,0.706083
18961.496,0.706690
18960.448,0.707777
18959.4,0.706195
18958.352,0.708085
18957.304,0.707177
18956.256,0.707564
18955.208,0.708022
18954.16,0.706274
18953.112,0.707650
18952.064,0.706935
18951.016,0.706694
18949.968,0.707439
18948.92,0.706423
18947.872,0.705990
18946.824,0.706466
18945.776,0.706723
18944.728,0.706711
18943.68,0.707826
18942.632,0.705872
18941.584,0.706907
18940.536,0.707241
18939.488,0.705665
18938.44,0.706517
18937.392,0.706484
18936.344,0.706750
18935.296,0.707047
18934.248,0.707846
18933.2,0.707734
18932.152,0.707610
18931.104,0.706798
18930.056,0.706732
18929.008,0.706988
18927.96,0.706543
18926.912,0.706335
18925.864,0.706240
18924.816,0.707426
18923.768,0.707516
18922.72,0.705979
18921.672,0.707344
18920.624,0.707064
18919.576,0.707040
18918.528,0.706813
18917.48,0.706891
18916.432,0.706528
18915.384,0.705931
18914.336,0.707570
18913.288,0.706613
18912.24,0.707221
18911.192,0.706434
18910.144,0.707395
18909.096,0.706667
18908.048,0.707327
18907,0.707756
18905.952,0.707099
18904.904,0.707083
18903.856,0.706020
18902.808,0.706713
18901.76,0.707192
18900.712,0.706995
18899.664,0.706417
18898.616,0.708047
18897.568,0.707837
18896.52,0.707874
18895.472,0.707086
18894.424,0.706321
18893.376,0.706199
18892.328,0.707483
18891.28,0.706471
18890.232,0.707889
18889.184,0.707513
18888.136,0.706857
18887.088,0.706749
18886.04,0.707112
18884.992,0.707088
18883.944,0.707737
18882.896,0.707499
18881.848,0.706845
18880.8,0.705503
18879.752,0.706830
18878.704,0.707416
18877.656,0.707115
18876.608,0.707328
18875.56,0.707723
18874.512,0.706412
18873.464,0.707053
18872.416,0.708261
18871.368,0.706109
18870.32,0.706234
18869.272,0.707146
18868.224,0.707963
18867.176,0.706665
18866.128,0.708242
18865.08,0.706986
18864.032,0.706850
18862.984,0.708142
18861.936,0.707283
18860.888,0.706426
18859.84,0.706818
18858.792,0.706419
18857.744,0.707002
18856.696,0.707718
18855.648,0.706586
18854.6,0.707626
18853.552,0.707800
18852.504,0.708169
18851.456,0.707783
18850.408,0.708312
18849.36,0.705871
18848.312,0.707494
18847.264,0.707199
18846.216,0.707734
18845.168,0.708441
18844.12,0.708178
18843.072,0.706940
18842.024,0.708060
18840.976,0.706441
18839.928,0.707706
18838.88,0.707362
18837.832,0.708324
18836.784,0.706880
18835.736,0.707478
18834.688,0.707517
18833.64,0.707652
18832.592,0.708131
18831.544,0.706624
18830.496,0.708024
18829.448,0.707321
18828.4,0.708544
18827.352,0.705818
18826.304,0.705159
18825.256,0.706653
18824.208,0.707050
18823.16,0.707394
18822.112,0.707725
18821.064,0.707239
18820.016,0.707096
18818.968,0.706935
18817.92,0.707249
18816.872,0.706257
18815.824,0.706586
18814.776,0.708346
18813.728,0.707745
18812.68,0.706133
18811.632,0.707511
18810.584,0.706897
18809.536,0.706867
18808.488,0.707068
18807.44,0.707722
18806.392,0.707755
18805.344,0.706200
18804.296,0.707530
18803.248,0.706455
18802.2,0.706703
18801.152,0.708004
18800.104,0.707979
18799.056,0.706691
18798.008,0.707326
18796.96,0.706684
18795.912,0.706434
18794.864,0.706188
18793.816,0.707316
18792.768,0.707102
18791.72,0.707303
18790.672,0.706850
18789.624,0.706527
18788.576,0.706669
18787.528,0.708200
18786.48,0.706023
18785.432,0.706796
18784.384,0.707034
18783.336,0.706625
18782.288,0.707649
18781.24,0.706119
18780.192,0.708143
18779.144,0.706923
18778.096,0.707688
18777.048,0.706296
18776,0.706830
18774.952,0.706737
18773.904,0.706474
18772.856,0.706467
18771.808,0.707598
18770.76,0.707590
18769.712,0.706448
18768.664,0.706020
18767.616,0.707649
18766.568,0.706844
18765.52,0.706898
18764.472,0.707623
18763.424,0.706720
18762.376,0.706601
18761.328,0.707656
18760.28,0.706738
18759.232,0.706998
18758.184,0.707400
18757.136,0.706310
18756.088,0.706109
18755.04,0.707734
18753.992,0.707824
18752.944,0.705662
18751.896,0.706528
18750.848,0.707190
18749.8,0.705656
18748.752,0.706852
18747.704,0.707909
18746.656,0.707073
18745.608,0.706535
18744.56,0.706972
18743.512,0.708165
18742.464,0.706379
18741.416,0.706576
18740.368,0.707754
18739.32,0.706414
18738.272,0.707927
18737.224,0.707758
18736.176,0.707317
18735.128,0.707092
18734.08,0.707051
18733.032,0.706986
18731.984,0.707264
18730.936,0.707139
18729.888,0.707979
18728.84,0.707211
18727.792,0.707956
18726.744,0.708179
18725.696,0.707764
18724.648,0.706829
18723.6,0.706352
18722.552,0.706810
18721.504,0.707623
18720.456,0.707353
18719.408,0.706650
18718.36,0.708060
18717.312,0.707423
18716.264,0.705657
18715.216,0.707187
18714.168,0.707079
18713.12,0.708694
18712.072,0.707305
18711.024,0.706215
18709.976,0.706649
18708.928,0.707359
18707.88,0.706392
18706.832,0.707015
18705.784,0.708247
18704.736,0.707877
18703.688,0.707553
18702.64,0.706008
18701.592,0.706109
18700.544,0.706647
18699.496,0.706166
18698.448,0.705913
18697.4,0.707148
18696.352,0.707698
18695.304,0.707344
18694.256,0.706161
18693.208,0.707001
18692.16,0.706922
18691.112,0.706828
18690.064,0.707304
18689.016,0.707570
18687.968,0.707791
18686.92,0.705744
18685.872,0.706301
18684.824,0.706886
18683.776,0.708209
18682.728,0.706589
18681.68,0.707049
18680.632,0.707848
18679.584,0.706270
18678.536,0.708490
18677.488,0.706526
18676.44,0.707700
18675.392,0.706655
18674.344,0.706434
18673.296,0.707621
18672.248,0.706377
18671.2,0.707357
